Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-08-15 05:52:45,false,"Barnet - W06D4-Fartlek","3.89","314","00:40:23","131","143","2.3","152","161","10:23","8:43","26","28","0.64","5.9","3.9","377","49.8% L / 50.3% R","10:23","--","175","0.0","171","280","6,062","-11","18.0","No","00:00:04.9","6","27.0","27","20","35","00:40:16","00:40:23","52","62"
Running,2024-08-13 06:23:33,false,"Barnet - W06D2-Steady Run","3.93","315","00:41:28","127","140","2.3","150","163","10:33","8:21","24","27","0.64","6.0","4.0","377","49.5% L / 50.5% R","10:31","--","176","0.0","171","258","6,172","-8","20.0","No","00:00:07.1","6","29.0","26","15","36","00:41:17","00:41:28","50","62"
Running,2024-08-08 05:59:46,false,"Barnet - W05D4-Threshold Run","3.27","271","00:32:30","136","150","2.3","154","164","9:56","8:23","23","25","0.66","6.2","4.2","374","50.1% L / 49.9% R","9:53","--","193","0.0","189","275","4,944","-9","19.0","No","00:00:06.4","12","27.0","28","19","39","00:32:26","00:32:30","51","62"
Running,2024-08-06 06:00:04,false,"Barnet - W05D2-Fartlek","4.17","337","00:40:08","136","151","2.5","155","161","9:38","8:07","27","29","0.68","5.9","4.1","375","49.8% L / 50.2% R","9:37","--","190","0.0","186","321","6,144","-9","22.0","No","00:00:02.2","7","27.0","29","16","38","00:40:07","00:40:08","52","63"
Running,2024-08-04 06:20:01,false,"Barnet - W04D7-Long Run","9.22","743","01:45:36","125","143","3.0","143","240","11:27","8:33","104","104","0.62","6.2","3.9","426","50.0% L / 50.0% R","11:19","--","162","0.0","156","281","14,928","-13","19.0","No","00:00:03.0","14","27.0","26","18","35","01:44:18","01:45:36","50","113"
Running,2024-08-01 06:06:08,false,"Barnet - W04D4-Threshold Run","3.14","253","00:33:33","134","147","2.2","151","164","10:40","8:16","27","28","0.66","5.8","3.9","372","50.5% L / 49.5% R","10:09","--","178","0.0","173","245","4,796","-5","22.0","No","00:00:03.3","11","30.0","29","18","37","00:32:02","00:32:03","52","63"
Running,2024-07-31 06:24:22,false,"Barnet - W04D3-Easy Run","2.85","227","00:30:33","127","139","2.1","148","157","10:43","8:09","23","23","0.64","6.4","4.2","383","49.6% L / 50.4% R","10:39","--","175","0.0","172","260","4,476","-5","23.0","No","00:00:13.4","5","30.0","26","12","37","00:30:27","00:30:33","53","63"
Running,2024-07-28 06:20:37,false,"Copeland Running","3.77","313","00:45:01","125","140","2.0","128","209","11:56","6:55","8","7","0.65","--","--","--","--","11:53","--","68","0.0","53","177","5,990","-6","17.0","No","00:08:15.1","4","23.0","--","--","--","00:44:13","00:45:01","4","11"
Running,2024-07-26 06:50:21,false,"Copeland - W03D7-Long Run","8.92","743","01:45:09","133","149","3.0","134","170","11:47","6:47","14","14","0.64","7.3","4.7","391","50.1% L / 49.9% R","11:41","--","171","0.0","157","356","13,856","-14","19.0","No","00:00:02.4","13","27.0","26","17","36","01:39:52","01:45:09","4","11"
Running,2024-07-24 05:53:54,false,"Barnet - W03D4-Threshold Run","2.84","236","00:28:59","130","160","2.4","151","172","10:11","6:38","21","24","0.65","6.6","4.4","357","49.4% L / 50.6% R","10:09","--","203","0.0","184","381","4,322","-7","20.0","No","00:00:10.1","9","26.0","29","15","41","00:28:57","00:28:59","52","64"
Running,2024-07-23 06:07:17,false,"Barnet - W03D2-Easy Run","3.07","248","00:30:03","130","143","2.2","155","162","9:47","7:52","25","27","0.67","6.4","4.4","374","50.5% L / 49.5% R","9:44","--","196","0.0","193","289","4,602","-9","19.0","No","00:00:01.0","6","28.0","28","20","41","00:30:00","00:30:03","52","62"
Running,2024-07-21 07:34:35,false,"Barnet - W02D7-Long Run","9.56","793","01:45:20","128","147","3.1","144","182","11:01","7:56","106","107","0.65","6.4","4.2","398","50.0% L / 50.0% R","10:51","--","173","0.0","166","298","14,874","-17","21.0","No","00:00:07.0","14","28.0","26","13","40","01:44:24","01:45:20","50","113"
Running,2024-07-18 05:59:58,false,"Barnet - W02D4-Threshold Run","2.74","233","00:26:08","133","154","2.6","154","172","9:33","6:41","23","25","0.69","6.8","4.8","343","49.7% L / 50.3% R","9:34","--","217","0.0","203","355","3,944","-7","20.0","No","00:00:07.0","11","28.0","29","17","42","00:25:50","00:26:08","52","63"
Running,2024-07-16 05:49:13,false,"Barnet - W02D2-Easy Run","3.06","246","00:31:47","130","143","2.2","151","175","10:23","7:54","24","26","0.65","6.1","4.1","380","49.7% L / 50.3% R","10:22","--","179","0.0","174","275","4,748","-7","20.0","No","00:00:01.9","5","27.0","27","14","41","00:31:34","00:31:47","53","63"
Running,2024-07-13 06:13:46,false,"South Oxfordshire Running","7.90","735","01:35:01","140","155","3.1","124","191","12:02","6:21","60","58","0.69","7.7","5.4","405","50.1% L / 49.9% R","11:59","--","196","0.0","168","349","11,532","-18","17.0","No","00:09:28.8","8","28.0","31","12","47","01:22:25","01:35:01","86","128"
Running,2024-07-11 06:02:48,false,"Barnet - W01D4-Steady Run","3.43","290","00:32:29","143","152","2.5","156","165","9:28","7:04","26","29","0.68","6.7","4.7","362","49.9% L / 50.1% R","9:27","--","210","0.0","203","344","5,026","-5","21.0","No","00:00:00.9","6","28.0","31","15","39","00:32:27","00:32:29","52","63"
Running,2024-07-09 05:56:03,false,"Barnet - W01D2-Easy Run","2.81","240","00:30:07","135","144","2.1","149","192","10:42","8:59","22","24","0.64","6.0","3.9","378","50.3% L / 49.7% R","10:37","--","181","0.0","173","276","4,438","-4","22.0","No","00:00:02.7","5","26.0","28","19","36","00:29:28","00:30:07","53","63"
Running,2024-07-03 05:47:48,false,"Barnet - W10D3-Easy Run","3.05","255","00:30:11","132","144","2.1","155","165","9:54","7:54","26","25","0.67","5.7","3.9","375","49.8% L / 50.2% R","9:47","--","190","0.0","187","353","4,630","-3","19.0","No","00:00:02.4","6","25.0","29","21","44","00:30:04","00:30:11","54","64"
Running,2024-07-02 05:45:26,false,"Barnet - W10D2-Intervals","4.60","410","00:38:13","147","169","3.3","160","174","8:19","5:15","34","36","0.76","6.6","5.2","317","50.3% L / 49.7% R","8:18","--","267","0.0","243","446","6,046","-9","18.0","No","00:00:06.3","14","26.0","33","19","45","00:38:10","00:38:13","52","64"
Running,2024-06-29 06:09:30,false,"Barnet - W09D6-Easy Run","4.26","349","00:40:36","132","143","2.1","157","163","9:32","7:28","28","30","0.67","6.4","4.4","368","50.1% L / 49.9% R","9:30","--","205","0.0","202","308","6,334","-9","19.0","No","00:00:03.5","7","25.0","29","13","40","00:40:34","00:40:36","52","63"
Running,2024-06-20 06:45:52,false,"Osceola County - W08D4-Recovery Run","3.43","291","00:30:25","138","148","2.1","158","166","8:53","6:43","4","2","0.72","7.2","5.3","341","50.2% L / 49.8% R","8:51","--","233","0.0","227","491","4,778","-6","27.0","No","00:00:02.8","6","30.0","28","16","40","00:30:06","00:30:25","25","30"
Running,2024-06-17 05:32:38,false,"Barnet - W08D1a-Recovery Run","3.07","250","00:30:06","128","140","1.5","157","163","9:48","8:38","16","18","0.67","6.1","4.2","371","50.0% L / 50.0% R","9:43","--","194","0.0","192","268","4,668","-5","17.0","No","00:00:01.7","6","26.0","29","17","38","00:30:03","00:30:06","51","62"
Running,2024-06-16 06:34:20,false,"Barnet - W07D7-Long Run","15.03","1,250","02:38:16","133","152","3.0","149","187","10:32","7:27","195","194","0.65","6.0","4.0","380","49.7% L / 50.3% R","10:22","--","186","0.0","179","321","23,332","-23","15.0","No","00:00:02.3","17","26.0","29","13","49","02:36:43","02:38:16","52","125"
Running,2024-06-15 07:39:03,false,"Barnet - W07D5-Intervals","5.52","471","00:49:14","143","173","2.8","156","173","8:55","5:58","45","46","0.72","6.4","4.7","344","50.7% L / 49.3% R","8:54","--","246","0.0","223","418","7,616","-14","18.0","No","00:00:02.3","12","27.0","33","20","56","00:49:04","00:49:14","52","78"
Running,2024-06-13 05:54:30,false,"Barnet - W07D4-Easy Run","4.31","351","00:40:22","129","139","2.0","157","164","9:22","7:48","29","31","0.69","6.1","4.3","369","50.2% L / 49.8% R","9:20","--","203","0.0","201","300","6,296","-7","15.0","No","00:00:01.5","7","28.0","28","14","35","00:40:20","00:40:22","52","64"
Running,2024-06-12 05:35:21,false,"Barnet - W07D3-Intervals","8.42","761","01:07:58","154","168","3.7","163","179","8:04","5:49","66","67","0.78","7.1","5.7","304","50.2% L / 49.8% R","7:50","--","284","0.0","269","440","10,726","-12","14.0","No","00:00:03.7","16","24.0","34","19","51","01:06:19","01:06:28","51","78"
Running,2024-06-11 05:53:12,false,"Barnet - W07D2a-Recovery Run","3.42","288","00:30:26","136","146","2.1","161","168","8:54","7:21","25","27","0.71","6.6","4.8","349","50.5% L / 49.5% R","8:53","--","227","0.0","222","344","4,850","-5","14.0","No","00:00:02.1","6","26.0","28","17","37","00:30:23","00:30:26","52","62"
Running,2024-06-09 06:56:04,false,"Barnet - W06D7-Long Run","14.42","1,183","02:30:08","132","150","3.0","150","192","10:25","5:19","166","167","0.65","6.0","4.0","377","50.2% L / 49.8% R","10:20","--","187","0.0","181","428","22,296","-13","15.0","No","00:00:03.1","17","27.0","28","20","40","02:29:28","02:30:08","48","120"
Running,2024-06-08 07:46:49,false,"Barnet - W06D6-Intervals","5.72","511","00:45:43","153","169","3.4","161","171","8:00","6:07","39","41","0.78","7.4","6.0","305","50.0% L / 50.0% R","8:00","--","284","0.0","266","415","7,268","-10","19.0","No","00:00:02.0","13","28.0","34","13","46","00:45:38","00:45:45","51","77"
Running,2024-06-06 06:16:07,false,"Barnet - W06D4-Intervals","5.32","454","00:45:54","148","168","3.0","158","176","8:38","5:46","36","40","0.74","6.8","5.1","330","50.0% L / 50.0% R","8:39","--","259","0.0","233","406","7,166","-9","16.0","No","00:00:02.2","14","28.0","32","19","44","00:45:51","00:45:54","52","76"
Running,2024-06-05 05:49:24,false,"Barnet - W06D3a-Recovery Run","3.34","276","00:30:47","135","147","2.0","159","167","9:13","7:50","26","28","0.69","6.9","4.9","355","50.1% L / 49.9% R","9:11","--","221","0.0","218","330","4,846","-6","15.0","No","00:00:04.0","6","27.0","29","16","38","00:30:45","00:30:47","52","63"
Running,2024-06-04 05:39:00,false,"Barnet - W06D2-Intervals","5.72","515","00:46:17","157","170","3.3","161","171","8:05","6:31","38","40","0.77","7.8","6.2","308","50.0% L / 50.0% R","8:06","--","291","0.0","276","415","7,396","-11","20.0","No","00:00:03.6","13","26.0","36","14","48","00:46:10","00:46:17","52","77"
Running,2024-06-01 16:53:46,false,"Barnet - W05D7-Long Run","8.68","716","01:34:39","135","151","2.4","145","163","10:54","7:19","96","98","0.64","6.0","4.0","383","49.6% L / 50.4% R","10:48","--","179","0.0","171","395","13,608","-8","19.0","No","00:00:03.9","11","26.0","30","19","40","01:34:36","01:34:39","51","111"
Running,2024-05-31 07:22:04,false,"Barnet - W05D6-Intervals","5.84","522","00:46:07","157","173","3.4","161","170","7:53","6:11","44","45","0.79","7.8","6.3","314","50.3% L / 49.7% R","7:53","--","302","0.0","285","444","7,358","-15","16.0","No","00:00:03.0","16","27.0","34","20","43","00:46:05","00:46:07","50","75"
Running,2024-05-29 05:38:21,false,"Barnet - W05D3a-Recovery Run","3.12","257","00:30:11","128","147","2.0","155","162","9:40","7:34","38","39","0.68","7.3","5.1","366","49.4% L / 50.6% R","9:34","--","231","0.0","226","334","4,634","-6","18.0","No","00:00:02.8","6","26.0","28","14","37","00:30:07","00:30:11","53","78"
Running,2024-05-28 05:35:53,false,"Barnet - W05D2-Intervals","5.83","512","00:47:34","153","168","3.4","160","172","8:09","5:28","39","40","0.77","7.4","5.9","307","50.4% L / 49.6% R","8:09","--","283","0.0","264","430","7,554","-10","17.0","No","00:00:00.9","14","25.0","34","19","47","00:47:33","00:47:34","51","77"
Running,2024-05-26 10:04:57,false,"Barnet - W04D7-Long Run","13.19","1,080","02:15:06","141","156","3.1","151","171","10:15","7:38","120","123","0.66","6.2","4.2","372","50.1% L / 49.9% R","10:11","--","192","0.0","187","318","20,238","-10","23.0","No","00:00:02.4","16","30.0","31","16","40","02:15:01","02:15:06","49","125"
Running,2024-05-25 08:47:51,false,"Barnet - W04D6-Intervals","5.66","499","00:46:07","159","174","3.3","162","172","8:09","6:27","40","41","0.76","7.5","5.9","308","50.0% L / 50.0% R","8:08","--","278","0.0","264","443","7,392","-8","20.0","No","00:00:02.3","13","27.0","35","21","50","00:46:03","00:46:07","52","76"
Running,2024-05-23 05:48:31,false,"Barnet - W04D4-Fartlek Run","4.38","359","00:45:11","131","146","2.1","152","161","10:19","7:32","49","48","0.65","6.4","4.2","378","50.2% L / 49.8% R","10:13","--","196","0.0","191","341","6,830","-8","19.0","No","00:00:02.8","7","27.0","27","16","39","00:45:09","00:45:11","54","88"
Running,2024-05-22 06:01:20,false,"Barnet - W04D3a-Recovery Run","3.30","275","00:30:06","138","145","2.4","159","165","9:08","7:23","24","25","0.70","7.1","5.1","350","50.2% L / 49.8% R","9:04","--","231","0.0","229","331","4,742","-6","17.0","No","00:00:02.3","6","25.0","28","17","41","00:30:04","00:30:06","52","63"
Running,2024-05-21 05:36:37,false,"Barnet - W04D2-Intervals","5.43","476","00:45:05","156","170","3.4","162","171","8:18","6:02","33","35","0.75","7.5","5.8","322","50.2% L / 49.8% R","8:17","--","270","0.0","256","394","7,218","-7","18.0","No","00:00:01.7","13","26.0","34","19","44","00:44:59","00:45:05","52","77"
Running,2024-05-19 18:14:50,false,"Barnet - W03D7-Long Run","10.03","837","01:46:02","145","160","2.9","149","173","10:34","7:14","109","109","0.65","6.1","4.0","380","49.9% L / 50.1% R","10:29","--","183","0.0","177","293","15,660","-13","23.0","No","00:00:06.6","12","29.0","32","23","42","01:45:13","01:46:02","50","112"
Running,2024-05-17 05:47:19,false,"Menlo Park - W03D6-Intervals","4.60","398","00:36:45","153","169","3.4","164","176","8:00","6:11","7","9","0.77","7.9","6.2","311","49.6% L / 50.4% R","7:59","--","283","0.0","272","374","5,982","-7","18.0","No","00:00:02.0","10","25.0","37","18","56","00:36:40","00:36:45","16","24"
Running,2024-05-16 05:49:13,false,"Menlo Park - W03D4-Recovery Run","4.84","394","00:45:54","139","144","2.4","158","164","9:29","7:02","9","10","0.68","7.6","5.2","344","49.2% L / 50.8% R","9:30","--","217","0.0","215","404","7,206","-5","17.0","No","00:00:02.0","7","25.0","25","16","35","00:45:52","00:45:54","16","24"
Running,2024-05-14 05:59:38,false,"Menlo Park - W03D2-Intervals","5.21","454","00:42:35","153","169","3.4","163","174","8:10","6:28","7","9","0.76","7.8","6.1","316","50.6% L / 49.4% R","8:12","--","270","0.0","261","365","6,858","-12","19.0","No","00:00:01.6","14","25.0","32","18","42","00:42:33","00:42:35","15","23"
Running,2024-05-12 06:17:57,false,"Menlo Park - W02D7-Long Run","10.05","839","01:30:05","143","156","3.4","160","167","8:58","5:21","14","17","0.71","6.9","5.0","347","49.8% L / 50.2% R","8:57","--","221","0.0","220","391","14,332","-16","19.0","No","00:00:01.9","13","25.0","30","18","42","01:29:50","01:30:05","8","22"
Running,2024-05-11 06:17:56,false,"Menlo Park - W02D6-Intervals","4.90","416","00:38:55","153","172","3.7","162","176","7:57","6:05","8","12","0.78","7.5","6.0","322","49.7% L / 50.3% R","7:58","--","284","0.0","271","383","6,246","-12","17.0","No","00:00:05.4","12","25.0","34","19","50","00:38:50","00:38:55","12","22"
Running,2024-05-09 05:36:03,false,"Bellevue - W02D4b-Recovery Run","3.41","284","00:30:30","143","167","2.5","159","167","8:57","6:15","21","25","0.71","6.7","4.8","357","49.3% L / 50.7% R","8:56","--","228","0.0","225","341","4,792","-9","14.0","No","00:00:03.4","6","23.0","32","17","47","00:30:28","00:30:30","3","20"
Running,2024-05-08 05:44:01,false,"Bellevue - W02D3-Intervals","5.11","438","00:41:51","155","171","3.7","162","177","8:12","5:08","37","39","0.76","7.0","5.5","321","49.4% L / 50.6% R","8:10","--","270","0.0","257","427","6,684","-11","13.0","No","00:00:06.1","12","24.0","40","28","53","00:41:49","00:41:51","3","17"
Running,2024-05-07 06:15:41,false,"Barnet - W02D2-Recovery Run","4.70","388","00:45:07","139","149","2.6","157","163","9:36","7:34","30","33","0.68","6.5","4.5","371","49.7% L / 50.3% R","9:34","--","208","0.0","206","298","6,996","-10","17.0","No","00:00:01.7","7","25.0","31","17","41","00:45:00","00:45:07","50","64"
Running,2024-05-06 07:51:58,false,"Barnet Running","3.14","264","00:30:11","142","155","2.4","155","163","9:37","7:04","35","38","0.68","6.3","4.4","371","50.1% L / 49.9% R","9:32","--","214","0.0","209","368","4,648","-7","19.0","No","00:01:22.6","4","27.0","32","18","40","00:30:09","00:30:11","51","76"
Running,2024-05-05 06:02:05,false,"Barnet - W01D7-Long Run","7.71","638","01:15:15","138","150","3.0","156","167","9:45","7:58","65","66","0.67","5.9","4.1","367","49.5% L / 50.5% R","9:42","--","198","0.0","196","307","11,602","-16","14.0","No","00:00:06.8","10","24.0","31","15","41","01:15:13","01:15:15","51","79"
Running,2024-05-04 08:20:04,false,"Barnet - W01D6-Fartlek Run","4.57","397","00:45:15","143","160","3.0","153","197","9:54","6:12","71","38","0.67","6.3","4.4","368","49.2% L / 50.8% R","9:39","--","220","0.0","213","338","6,882","-11","19.0","No","00:00:05.4","7","27.0","33","19","44","00:45:10","00:45:15","53","90"
Running,2024-05-03 08:26:19,false,"Barnet Running","2.93","254","00:30:07","132","149","2.4","151","158","10:16","8:14","35","38","0.66","6.4","4.4","382","49.3% L / 50.7% R","10:09","--","209","0.0","199","355","4,524","-7","14.0","No","00:09:53.7","3","26.0","33","16","44","00:30:06","00:30:07","50","75"
Running,2024-05-01 06:40:58,false,"Barnet - W01D3-Intervals","4.03","349","00:35:26","149","166","3.5","156","178","8:48","5:38","52","50","0.72","6.7","4.9","320","50.3% L / 49.8% R","--","--","--","0.0","--","--","5,478","--","18.0","No","00:00:06.1","11","25.0","--","--","--","00:35:25","00:35:26","72","111"
Running,2024-04-30 06:44:54,false,"Barnet - W01D2-Easy Run","4.10","350","00:40:12","139","150","2.7","153","169","9:48","7:46","53","52","0.67","6.5","4.4","367","50.1% L / 49.9% R","--","--","--","0.0","--","--","6,084","--","18.0","No","00:00:01.2","8","25.0","--","--","--","00:40:01","00:40:12","41","79"
Running,2024-04-28 10:15:12,false,"Barnet - W04D7-Long Run","5.96","494","01:00:13","143","153","2.4","152","165","10:06","7:54","42","54","0.65","7.1","4.7","373","50.3% L / 49.7% R","--","--","--","0.0","--","--","9,050","--","15.0","No","00:00:01.5","9","23.0","--","--","--","00:59:58","01:00:13","54","94"
Running,2024-04-25 06:28:28,false,"Barnet - W04D4-Steady Run","4.43","383","00:40:18","147","161","3.3","157","169","9:05","7:05","51","58","0.70","6.9","5.0","347","49.1% L / 50.9% R","--","--","--","0.0","--","--","6,116","--","17.0","No","00:00:06.3","7","23.0","--","--","--","00:40:13","00:40:18","62","104"
Running,2024-04-23 05:45:28,false,"Barnet - W04D2-Easy Run","3.44","292","00:35:17","138","155","2.7","151","160","10:16","8:09","52","49","0.65","6.6","4.4","379","49.2% L / 50.8% R","--","--","--","0.0","--","--","5,170","--","15.0","No","00:00:08.1","6","24.0","--","--","--","00:35:15","00:35:17","44","65"
Running,2024-04-21 06:09:52,false,"Barnet - W03D7-Long Run","7.54","691","01:25:38","145","170","3.2","144","154","11:22","9:15","94","87","0.60","9.9","6.0","252","49.5% L / 50.5% R","--","--","--","0.0","--","--","12,306","--","11.0","No","00:00:06.8","11","22.0","--","--","--","01:25:33","01:25:38","39","109"
Running,2024-04-18 20:06:56,false,"Barnet - W03D4-Intervals","2.68","237","00:27:52","141","160","3.1","145","173","10:23","7:25","43","36","0.66","9.8","6.5","250","50.0% L / 50.0% R","--","--","--","0.0","--","--","3,982","--","17.0","No","00:00:06.9","13","24.0","--","--","--","00:27:51","00:27:52","44","71"
Running,2024-04-16 06:09:41,false,"Barnet - W03D2-Easy Run","3.39","287","00:38:58","132","149","2.6","143","154","11:30","8:51","49","43","0.61","9.6","5.9","244","51.2% L / 48.8% R","--","--","--","0.0","--","--","5,534","--","15.0","No","00:00:16.3","6","25.0","--","--","--","00:38:46","00:38:58","43","73"
Running,2024-04-14 20:42:28,false,"Barnet - W02D7-Long Run","3.92","343","00:45:26","135","155","2.8","142","213","11:35","5:13","69","48","0.61","9.6","5.9","248","49.9% L / 50.1% R","--","--","--","0.0","--","--","6,388","--","15.0","No","00:00:08.5","7","28.0","--","--","--","00:45:05","00:45:26","44","77"
Running,2024-04-11 05:56:32,false,"Barnet - W02D4-Easy Run","2.74","233","00:30:42","138","153","2.7","146","159","11:12","8:30","34","37","0.62","9.6","6.0","253","49.6% L / 50.4% R","--","--","--","0.0","--","--","4,436","--","20.0","No","00:00:14.7","5","24.0","--","--","--","00:30:27","00:30:42","40","66"
Running,2024-04-09 06:23:07,false,"Barnet - W02D2a-Easy Run","2.73","231","00:30:38","133","153","2.7","144","168","11:13","9:07","40","42","0.62","--","--","--","--","--","--","--","0.0","--","--","4,424","--","15.0","No","00:00:06.9","5","24.0","--","--","--","00:30:35","00:30:38","41","69"
Running,2024-04-07 17:30:03,false,"Barnet - W01D7-Long Run","2.57","232","00:31:11","134","159","2.8","120","164","12:09","6:41","30","37","0.69","--","--","--","--","--","--","--","0.0","--","--","3,754","--","21.0","No","00:00:08.7","5","22.0","--","--","--","00:29:23","00:31:11","48","70"
Running,2024-04-04 19:30:07,false,"Barnet - W01D4-Easy Run","2.79","251","00:32:02","139","160","2.8","139","187","11:30","4:07","54","17","0.64","--","--","--","--","--","--","--","0.0","--","--","4,462","--","17.0","No","00:00:09.5","6","26.0","--","--","--","00:32:00","00:32:02","122","158"
