Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Avg Run Cadence.1,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,cloud_cover,wind_speed_10m,wind_gusts_10m
Running,2024-08-15 05:52:45,False,Barnet - W06D4-Fartlek,3.89,314,00:40:23,131,143,2.3,152,161,10:23,8:43,26,28,0.64,5.9,3.9,377,49.8% L / 50.3% R,10:23,--,175,0.0,171,280,"6,062",-11,18.0,No,00:00:04.9,6,27.0,27,20,35,00:40:16,00:40:23,52,62,13.0,91.51392,11.65,11.756136,100.0,12.031756,21.24
Running,2024-08-13 06:23:33,False,Barnet - W06D2-Steady Run,3.93,315,00:41:28,127,140,2.3,150,163,10:33,8:21,24,27,0.64,6.0,4.0,377,49.5% L / 50.5% R,10:31,--,176,0.0,171,258,"6,172",-8,20.0,No,00:00:07.1,6,29.0,26,15,36,00:41:17,00:41:28,50,62,14.1,87.182495,12.0,13.4251,95.0,8.891344,18.359999
Running,2024-08-08 05:59:46,False,Barnet - W05D4-Threshold Run,3.27,271,00:32:30,136,150,2.3,154,164,9:56,8:23,23,25,0.66,6.2,4.2,374,50.1% L / 49.9% R,9:53,--,193,0.0,189,275,"4,944",-9,19.0,No,00:00:06.4,12,27.0,28,19,39,00:32:26,00:32:30,51,62,12.2,93.61209,11.2,11.271378,0.0,8.913181,17.64
Running,2024-08-06 06:00:04,False,Barnet - W05D2-Fartlek,4.17,337,00:40:08,136,151,2.5,155,161,9:38,8:07,27,29,0.68,5.9,4.1,375,49.8% L / 50.2% R,9:37,--,190,0.0,186,321,"6,144",-9,22.0,No,00:00:02.2,7,27.0,29,16,38,00:40:07,00:40:08,52,63,17.9,81.824745,14.75,17.048912,55.0,16.645864,31.319998
Running,2024-08-04 06:20:01,False,Barnet - W04D7-Long Run,9.22,743,01:45:36,125,143,3.0,143,240,11:27,8:33,104,104,0.62,6.2,3.9,426,50.0% L / 50.0% R,11:19,--,162,0.0,156,281,"14,928",-13,19.0,No,00:00:03.0,14,27.0,26,18,35,01:44:18,01:45:36,50,113,13.55,76.511665,9.5,12.344534,100.0,7.4128532,14.4
Running,2024-08-01 06:06:08,False,Barnet - W04D4-Threshold Run,3.14,253,00:33:33,134,147,2.2,151,164,10:40,8:16,27,28,0.66,5.8,3.9,372,50.5% L / 49.5% R,10:09,--,178,0.0,173,245,"4,796",-5,22.0,No,00:00:03.3,11,30.0,29,18,37,00:32:02,00:32:03,52,63,17.75,84.48307,15.1,18.678791,66.0,5.3517847,14.759999
Running,2024-07-31 06:24:22,False,Barnet - W04D3-Easy Run,2.85,227,00:30:33,127,139,2.1,148,157,10:43,8:09,23,23,0.64,6.4,4.2,383,49.6% L / 50.4% R,10:39,--,175,0.0,172,260,"4,476",-5,23.0,No,00:00:13.4,5,30.0,26,12,37,00:30:27,00:30:33,53,63,17.85,74.962814,13.35,17.502604,9.0,9.726664,20.16
Running,2024-07-28 06:20:37,False,Copeland Running,3.77,313,00:45:01,125,140,2.0,128,209,11:56,6:55,8,7,0.65,--,--,--,--,11:53,--,68,0.0,53,177,"5,990",-6,17.0,No,00:08:15.1,4,23.0,--,--,--,00:44:13,00:45:01,4,11,13.75,88.59902,11.9,13.5973625,0.0,5.0911684,10.799999
Running,2024-07-26 06:50:21,False,Copeland - W03D7-Long Run,8.92,743,01:45:09,133,149,3.0,134,170,11:47,6:47,14,14,0.64,7.3,4.7,391,50.1% L / 49.9% R,11:41,--,171,0.0,157,356,"13,856",-14,19.0,No,00:00:02.4,13,27.0,26,17,36,01:39:52,01:45:09,4,11,14.1,90.6879,12.6,12.672991,100.0,15.39184,29.16
Running,2024-07-24 05:53:54,False,Barnet - W03D4-Threshold Run,2.84,236,00:28:59,130,160,2.4,151,172,10:11,6:38,21,24,0.65,6.6,4.4,357,49.4% L / 50.6% R,10:09,--,203,0.0,184,381,"4,322",-7,20.0,No,00:00:10.1,9,26.0,29,15,41,00:28:57,00:28:59,52,64,14.5,97.44585,14.1,14.903168,3.0,6.4096174,10.799999
Running,2024-07-23 06:07:17,False,Barnet - W03D2-Easy Run,3.07,248,00:30:03,130,143,2.2,155,162,9:47,7:52,25,27,0.67,6.4,4.4,374,50.5% L / 49.5% R,9:44,--,196,0.0,193,289,"4,602",-9,19.0,No,00:00:01.0,6,28.0,28,20,41,00:30:00,00:30:03,52,62,17.1,90.02264,15.45,16.685013,49.0,15.496736,27.72
Running,2024-07-21 07:34:35,False,Barnet - W02D7-Long Run,9.56,793,01:45:20,128,147,3.1,144,182,11:01,7:56,106,107,0.65,6.4,4.2,398,50.0% L / 50.0% R,10:51,--,173,0.0,166,298,"14,874",-17,21.0,No,00:00:07.0,14,28.0,26,13,40,01:44:24,01:45:20,50,113,17.5,80.98427,14.2,17.044758,81.0,12.538134,24.84
Running,2024-07-18 05:59:58,False,Barnet - W02D4-Threshold Run,2.74,233,00:26:08,133,154,2.6,154,172,9:33,6:41,23,25,0.69,6.8,4.8,343,49.7% L / 50.3% R,9:34,--,217,0.0,203,355,"3,944",-7,20.0,No,00:00:07.0,11,28.0,29,17,42,00:25:50,00:26:08,52,63,12.5,95.49994,11.8,12.492746,96.0,3.8773184,8.28
Running,2024-07-16 05:49:13,False,Barnet - W02D2-Easy Run,3.06,246,00:31:47,130,143,2.2,151,175,10:23,7:54,24,26,0.65,6.1,4.1,380,49.7% L / 50.3% R,10:22,--,179,0.0,174,275,"4,748",-7,20.0,No,00:00:01.9,5,27.0,27,14,41,00:31:34,00:31:47,53,63,13.45,95.22023,12.7,12.062569,81.0,15.349684,27.72
Running,2024-07-13 06:13:46,False,South Oxfordshire Running,7.9,735,01:35:01,140,155,3.1,124,191,12:02,6:21,60,58,0.69,7.7,5.4,405,50.1% L / 49.9% R,11:59,--,196,0.0,168,349,"11,532",-18,17.0,No,00:09:28.8,8,28.0,31,12,47,01:22:25,01:35:01,86,128,12.75,78.4724,9.1,10.965826,100.0,10.630672,20.16
Running,2024-07-11 06:02:48,False,Barnet - W01D4-Steady Run,3.43,290,00:32:29,143,152,2.5,156,165,9:28,7:04,26,29,0.68,6.7,4.7,362,49.9% L / 50.1% R,9:27,--,210,0.0,203,344,"5,026",-5,21.0,No,00:00:00.9,6,28.0,31,15,39,00:32:27,00:32:29,52,63,13.7,86.00034,11.4,12.15638,0.0,13.5515,27.72
